"","Cities","region","total_offense_2020","total_offense_2021","total_offense_2022","Population_2020","Population_2021","Population_2022","crime_rate_2020","crime_rate_2021","crime_rate_2022"
"1","Aberdeen","Western",1734,1259,1462,16744,16824,17338,0.103559483994267,0.0748335710889206,0.084323451378475
"2","Algona","Western",138,138,124,3228,3216,3194,0.0427509293680297,0.042910447761194,0.0388227927363807
"3","Anacortes","Western",955,834,1135,17735,17923,17990,0.0538483225260784,0.0465323885510238,0.0630906058921623
"4","Arlington","Western",1594,1420,1310,20825,21405,20176,0.0765426170468187,0.0663396402709647,0.064928628072958
"5","Auburn","Western",7460,7337,7176,82779,82158,84279,0.0901194747460105,0.0893035370870761,0.0851457658491439
"6","Bainbridge Island","Western",821,438,711,25561,25601,24336,0.0321192441610266,0.0171087066911449,0.0292159763313609
"7","Battle Ground","Western",738,737,621,21669,22143,21385,0.0340578706908487,0.0332836562344759,0.0290390460603227
"8","Beaux Arts","Western",8,2,5,327,324,304,0.0244648318042813,0.00617283950617284,0.0164473684210526
"9","Bellevue","Western",8613,7639,8147,150548,150208,147079,0.0572109891861732,0.0508561461440136,0.0553920002175701
"10","Bellingham","Western",8108,8970,12629,93629,95279,93014,0.086597101325444,0.0941445649093714,0.135775259638334
"11","Bingen","Eastern",48,31,34,745,751,737,0.0644295302013423,0.0412782956058589,0.0461329715061058
"12","Black Diamond","Western",72,126,104,4858,5551,7021,0.0148209139563606,0.0226986128625473,0.0148127047429141
"13","Blaine","Western",320,270,356,5717,5741,6050,0.0559734126290012,0.0470301341229751,0.0588429752066116
"14","Bonney Lake","Western",930,1229,1349,21584,23142,22898,0.0430874722016308,0.0531069051940195,0.0589134422220281
"15","Bothell","Western",3169,2169,1802,48323,48356,47407,0.0655795376942657,0.0448548267019605,0.0380112641593014
"16","Bremerton","Western",3876,3490,4367,41817,42798,44256,0.0926895760097568,0.0815458666292817,0.0986758857556038
"17","Brier","Western",220,114,175,7055,7030,6448,0.0311835577604536,0.0162162162162162,0.0271401985111663
"18","Buckley","Western",236,217,202,5663,5914,5982,0.0416740243687092,0.0366925938451133,0.0337679705784019
"19","Burien","Western",4094,4248,3898,51879,51584,50159,0.078914396962162,0.0823511166253102,0.0777128730636576
"20","Burlington","Western",999,1548,1944,9321,9666,10187,0.107177341486965,0.160148975791434,0.190831451850398
"21","Carnation","Western",70,41,45,2345,2366,2170,0.0298507462686567,0.0173288250211327,0.0207373271889401
"22","Centralia","Western",1409,1214,1823,17867,18131,18993,0.0788604690211003,0.0669571452208924,0.0959827304796504
"23","Chehalis","Western",777,839,860,7700,7885,7870,0.100909090909091,0.106404565630945,0.109275730622618
"24","Cheney","Eastern",495,496,565,12741,13175,13092,0.038850953614316,0.0376470588235294,0.043156125878399
"25","Cle Elum","Eastern",238,212,219,3023,3103,3198,0.0787297386701952,0.0683209796970674,0.0684803001876173
"26","College Place","Eastern",311,321,269,9374,9560,9907,0.0331768721997013,0.0335774058577406,0.0271525184213183
"27","Colville","Eastern",40,18,63,4845,4840,5026,0.00825593395252838,0.00371900826446281,0.0125348189415042
"28","Connell","Eastern",89,60,100,5725,5660,4945,0.0155458515283843,0.0106007067137809,0.0202224469160768
"29","Covington","Western",1101,1323,1262,21613,22024,20686,0.0509415629482256,0.0600708318198329,0.0610074446485546
"30","Darrington","Western",99,63,37,1429,1430,1468,0.0692792162351295,0.0440559440559441,0.0252043596730245
"31","Des Moines","Western",2339,2081,2148,32652,32664,32541,0.0716342031116011,0.0637092823903992,0.0660090347561538
"32","Dupont","Western",318,314,327,9668,9740,10024,0.0328920148944973,0.0322381930184805,0.0326217079010375
"33","Duvall","Western",208,69,95,8275,8319,8778,0.0251359516616314,0.00829426613775694,0.0108225108225108
"34","East Wenatchee","Eastern",568,585,686,14336,14096,14243,0.0396205357142857,0.0415011350737798,0.0481640103910693
"35","Eatonville","Western",84,85,79,3058,3055,2849,0.0274689339437541,0.027823240589198,0.0277290277290277
"36","Edgewood","Western",643,683,738,13553,13909,12900,0.0474433704714823,0.0491048961104321,0.0572093023255814
"37","Edmonds","Western",3183,2515,2647,42934,42803,42714,0.0741370475613733,0.058757563722169,0.0619703141827036
"38","Ellensburg","Eastern",1489,1439,1397,21448,21933,19822,0.0694237224916076,0.0656088998313044,0.0704772475027747
"39","Elma","Western",198,176,157,3357,3387,3509,0.0589812332439678,0.0519633894301742,0.0447420917640353
"40","Enumclaw","Western",566,508,534,12315,12700,12833,0.0459602111246447,0.04,0.0416114704278033
"41","Ephrata","Eastern",674,730,679,8184,8268,8465,0.082355816226784,0.0882922109337204,0.0802126402835204
"42","Everett","Western",8932,10036,10766,112439,113469,110694,0.0794386289454727,0.0884470648370921,0.0972591107015737
"43","Federal Way","Western",4703,7929,8254,97071,97017,97094,0.0484490733586756,0.0817279445870311,0.0850104022905638
"44","Ferndale","Western",478,771,931,15337,16006,15816,0.0311664601943014,0.048169436461327,0.0588644410723318
"45","Fife","Western",1922,2420,2363,10301,10577,10900,0.186583826812931,0.228798336012102,0.216788990825688
"46","Fircrest","Western",278,307,314,6869,6920,7047,0.0404716843790945,0.044364161849711,0.0445579679296154
"47","Gig Harbor","Western",805,742,1093,11216,11345,12301,0.0717724679029957,0.0654032613486117,0.0888545646695391
"48","Gold Bar","Western",79,87,57,2374,2408,2384,0.0332771693344566,0.0361295681063123,0.0239093959731544
"49","Goldendale","Western",197,206,258,3516,3696,3551,0.0560295790671217,0.0557359307359307,0.072655589974655
"50","Grand Coulee","Eastern",126,127,116,2054,2047,1919,0.0613437195715677,0.0620420127015144,0.0604481500781657
"51","Grandview","Eastern",577,641,696,11099,11043,10901,0.0519866654653572,0.0580458208820067,0.0638473534538116
"52","Granite Falls","Western",168,97,170,4341,4728,4842,0.0387007601935038,0.0205160744500846,0.0351094589012805
"53","Hoquiam","Western",626,503,591,8647,8696,8918,0.0723950503064647,0.0578426862925483,0.0662704642296479
"54","Index","Western",7,0,2,215,218,157,0.0325581395348837,0,0.0127388535031847
"55","Issaquah","Western",2392,2494,2463,40659,40738,38917,0.0588307631766645,0.0612204821051598,0.0632885371431508
"56","Kalama","Western",112,170,200,2852,2898,3061,0.0392706872370266,0.0586611456176674,0.0653381247958184
"57","Kelso","Western",1062,1035,1367,12476,12493,12723,0.0851234369990382,0.0828463939806292,0.107443213078676
"58","Kenmore","Western",757,467,526,23397,23326,23107,0.0323545753729111,0.0200205778959101,0.0227636646903536
"59","Kennewick","Eastern",6563,6306,7986,85526,85595,85058,0.0767368987208568,0.0736725276009113,0.093888875825907
"60","Kent","Western",11795,12355,14592,133883,131899,133066,0.0880993105920841,0.0936701567108166,0.109659868035411
"61","Kettle Falls","Eastern",63,56,63,1641,1647,1665,0.0383912248628885,0.0340012143290832,0.0378378378378378
"62","Kirkland","Western",4743,4057,4490,94470,97027,91464,0.0502064147348365,0.0418131035691096,0.0490903524884107
"63","La Center","Western",172,135,159,3459,3674,4142,0.0497253541485979,0.0367446924333152,0.0383872525350072
"64","Lacey","Western",2550,2925,3339,53826,55484,55101,0.0473748745959202,0.052717900656045,0.0605978112919911
"65","Lake Forest Park","Western",547,317,449,13604,13514,13096,0.0402087621287857,0.0234571555424005,0.0342852779474649
"66","Lake Stevens","Western",1183,750,958,34600,35500,36828,0.0341907514450867,0.0211267605633803,0.026012816335397
"67","Lakewood","Western",6093,6407,6743,61432,61325,63044,0.0991828363068108,0.10447615165104,0.106957045872724
"68","Liberty Lake","Eastern",266,605,572,11410,11905,12897,0.0233128834355828,0.0508189836203276,0.044351399550283
"69","Long Beach","Western",43,60,68,1508,1534,1752,0.0285145888594164,0.0391134289439374,0.0388127853881279
"70","Longview","Western",2982,2752,3380,38629,38693,37768,0.0771958890988635,0.0711239759129558,0.0894937513238721
"71","Lynden","Western",595,493,642,15625,15791,16275,0.03808,0.0312203153695143,0.0394470046082949
"72","Maple Valley","Western",931,716,742,27736,28065,28175,0.0335664839919239,0.0255122038125779,0.0263354037267081
"73","Marysville","Western",3165,3046,3486,71522,72620,71395,0.044252118229356,0.0419443679427155,0.048826948665873
"74","Medina","Western",134,100,79,3324,3343,2849,0.0403128760529483,0.0299132515704457,0.0277290277290277
"75","Mercer Island","Western",769,860,881,26268,26251,25121,0.0292751636972742,0.0327606567368862,0.0350702599418813
"76","Mill Creek","Western",808,849,1012,21214,21076,20925,0.0380880550579806,0.0402827861074208,0.048363201911589
"77","Milton","Western",504,520,712,8413,8325,9113,0.0599072863425651,0.0624624624624625,0.0781301437506858
"78","Monroe","Western",1184,918,1196,20065,21047,20309,0.0590082232743583,0.0436166674585452,0.0588901472253681
"79","Montesano","Western",126,113,104,4059,4083,4196,0.0310421286031042,0.0276757286309086,0.0247855100095329
"80","Mountlake Terrace","Western",1386,1492,1509,21504,21462,21589,0.064453125,0.0695182182462026,0.0698967066561675
"81","Mount Vernon","Western",2660,2262,2418,36513,36830,35511,0.0728507654807877,0.0614173228346457,0.0680915772577511
"82","Moxee","Eastern",121,112,101,4177,4499,4408,0.0289681589657649,0.0248944209824405,0.0229128856624319
"83","Mukilteo","Western",1111,1181,1234,21573,21461,21009,0.0514995596347286,0.0550300545174969,0.0587367318768147
"84","Newcastle","Western",471,365,450,12523,13188,12782,0.0376107961351114,0.0276766757658477,0.0352057580973244
"85","Newport","Western",66,78,92,2205,2278,2182,0.0299319727891156,0.0342405618964004,0.0421631530705774
"86","Normandy Park","Western",276,266,277,6633,6587,6519,0.04161013116237,0.0403825717321998,0.0424911796287774
"87","North Bend","Western",510,504,573,7620,7790,7889,0.0669291338582677,0.0646983311938382,0.0726327798200025
"88","Oak Harbor","Western",322,374,494,23721,23792,24858,0.0135744698790102,0.015719569603228,0.0198728779467375
"89","Oakville","Western",45,21,66,692,698,733,0.065028901734104,0.0300859598853868,0.0900409276944066
"90","Olympia","Western",4193,4209,4654,53571,54322,56214,0.0782699594930093,0.0774824196458157,0.0827907638666524
"91","Orting","Western",349,282,283,8848,8866,8877,0.0394439421338156,0.0318069027746447,0.0318801396868311
"92","Othello","Eastern",484,617,808,8509,8572,8876,0.0568809495827947,0.071978534764349,0.0910319963947724
"93","Pacific","Western",273,319,392,7243,7225,6966,0.0376915642689493,0.0441522491349481,0.056273327591157
"94","Pasco","Eastern",3914,3871,4789,76970,78680,79899,0.05085098090165,0.0491992882562278,0.0599381719420769
"95","Port Angeles","Western",1619,1427,1870,20364,20519,20290,0.0795030445884895,0.0695452994785321,0.0921636274026614
"96","Port Orchard","Western",1208,1339,1734,14886,14995,16351,0.0811500738949348,0.089296432144048,0.106048559721118
"97","Port Townsend","Western",493,353,370,9914,10063,10452,0.0497276578575751,0.0350790022856007,0.035399923459625
"98","Poulsbo","Western",585,428,732,11401,11425,11814,0.0513112884834664,0.0374617067833698,0.0619603859827324
"99","Prosser","Eastern",368,308,300,6451,6463,6136,0.0570454193148349,0.0476558873588117,0.0488917861799218
"100","Puyallup","Western",4903,4956,5524,42974,43144,42580,0.114092241820636,0.11487112924161,0.129732268670737
"101","Quincy","Eastern",406,346,495,8183,8564,8413,0.0496150556030796,0.040401681457263,0.0588375133721621
"102","Raymond","Western",56,83,69,3009,3076,3201,0.0186108341641741,0.0269830949284785,0.0215557638238051
"103","Redmond","Western",3554,3417,4108,74154,74583,79403,0.0479272864579119,0.0458147298982342,0.0517360805007367
"104","Renton","Western",8239,7698,8398,102856,102458,103619,0.0801022789142102,0.0751332253215952,0.0810469122458236
"105","Richland","Eastern",4051,3710,4454,59370,60615,63081,0.0682331143675257,0.0612059721191124,0.0706076314579667
"106","Ridgefield","Western",456,461,387,9835,12295,14465,0.0463650228774784,0.0374949166327775,0.0267542343587971
"107","Ritzville","Eastern",126,148,177,1651,1637,1704,0.0763173834039976,0.0904092852779475,0.10387323943662
"108","Royal City","Eastern",53,49,63,2247,2697,1828,0.0235870048954161,0.0181683351872451,0.0344638949671772
"109","Ruston","Western",63,77,100,856,859,1053,0.0735981308411215,0.089639115250291,0.0949667616334283
"110","Sammamish","Western",1703,956,1000,66878,66855,65738,0.0254642782379856,0.0142996036197741,0.015211901791962
"111","SeaTac","Western",2608,2885,2676,29282,29103,30203,0.0890649545796052,0.0991306738136962,0.0886004701519717
"112","Seattle","Western",73291,69101,72987,771517,787749,729691,0.0949959624998542,0.0877195654961161,0.100024530931586
"113","Sedro Woolley","Western",447,519,434,12189,12301,12565,0.0366724095495939,0.0421916917323795,0.0345403899721448
"114","Selah","Eastern",315,395,502,8170,8220,8258,0.0385556915544676,0.0480535279805353,0.0607895374182611
"115","Sequim","Western",465,455,598,7768,7911,8439,0.0598609680741504,0.0575148527366957,0.0708614764782557
"116","Shelton","Western",1100,794,791,10749,11073,11102,0.102335100939622,0.0717059514133478,0.0712484237074401
"117","Shoreline","Western",3142,2736,2855,57472,58725,57147,0.0546701002227171,0.0465900383141762,0.0499588779813464
"118","Skykomish","Western",0,2,10,223,221,156,0,0.00904977375565611,0.0641025641025641
"119","Snohomish","Western",754,563,587,10269,10489,10125,0.0734248709708832,0.0536752788635714,0.0579753086419753
"120","Snoqualmie","Western",602,561,568,13987,13875,13523,0.0430399656824194,0.0404324324324324,0.042002514235007
"121","Soap Lake","Eastern",111,97,121,1609,1614,1708,0.0689869484151647,0.0600991325898389,0.0708430913348946
"122","Spokane","Eastern",29591,26729,30042,223524,223344,229292,0.132383994559868,0.119676373665735,0.131020707220487
"123","Spokane Valley","Eastern",10263,8599,9233,102366,104276,108076,0.100257898130239,0.0824638459472937,0.0854306228949998
"124","Stanwood","Western",305,272,299,7410,7716,9132,0.0411605937921727,0.0352514256091239,0.0327420061322821
"125","Steilacoom","Western",203,174,203,6436,6460,6690,0.0315413300186451,0.0269349845201238,0.0303437967115097
"126","Sultan","Western",223,220,175,5476,5786,6102,0.0407231555880205,0.0380228136882129,0.0286791215994756
"127","Sumner","Western",807,980,1072,10544,10670,10681,0.0765364188163885,0.091846298031865,0.100365134350716
"128","Tacoma","Western",25787,29655,35286,220123,222235,219027,0.117148139903599,0.133439827209935,0.161103425605062
"129","Toppenish","Eastern",1017,1120,1306,8792,8745,8717,0.115673339399454,0.128073184676958,0.149822186532064
"130","Tukwila","Western",4907,5493,6707,20483,20369,21473,0.239564516916467,0.269674505375816,0.31234573650631
"131","Tumwater","Western",1294,1329,1658,24493,24727,26227,0.0528314212223901,0.053746916326283,0.0632172951538491
"132","Union Gap","Eastern",678,649,871,6206,6163,6514,0.109249113760877,0.105305857536914,0.133712004912496
"133","University Place","Western",1862,1520,1815,34339,34404,34846,0.0542240601065843,0.044180909196605,0.0520863226769213
"134","Vancouver","Western",15656,20425,23484,186440,188160,193273,0.0839733962668955,0.108551232993197,0.121506884044848
"135","Walla Walla","Eastern",1992,1535,2237,32944,33154,33899,0.0604662457503643,0.0462990890993545,0.0659901472019824
"136","Warden","Eastern",85,128,209,2825,2848,2574,0.0300884955752212,0.0449438202247191,0.0811965811965812
"137","Washougal","Eastern",802,700,761,16334,16317,16902,0.0491000367331946,0.0429000429000429,0.0450242574843214
"138","Wenatchee","Eastern",1864,2019,2361,34525,34349,35462,0.0539898624185373,0.0587790037555678,0.0665783091760194
"139","Westport","Western",184,149,206,2102,2123,2280,0.0875356803044719,0.0701837023080546,0.0903508771929825
"140","West Richland","Eastern",647,441,427,15464,15817,17557,0.0418391101914123,0.0278813934374407,0.024320783732984
"141","White Salmon","Western",100,72,54,2732,2764,2663,0.0366032210834553,0.0260492040520984,0.0202778820878708
"142","Woodinville","Western",747,699,753,13547,15462,13357,0.055141359710637,0.0452076057431121,0.056374934491278
"143","Woodway","Western",37,13,51,1400,1399,1302,0.0264285714285714,0.00929235167977126,0.0391705069124424
"144","Yakima","Eastern",7840,6676,7204,93862,94594,96267,0.0835268798874944,0.0705753007590333,0.0748335358949588
